ID	Last	First	Sex	Approval	KG Number	KG street	Renter	KG phone	cell phone	e-mail	Summer Address	Summer City	Summer State	Summer zip	Summer phone	Born	Also lived in	Education	Occupation/Profession	Military Service	Hobbies/Interests	Volunteer Activities	children	Grandchildren	Great Grandchildren	KingsGate History	Other Information	UnitPhoto	PersonPhoto
R-099	Salvato	Christopher	M		51	Crown Point		916-559-3757			2764 Tator Patch Road	Chicago	IL	60601	609-228-0158	MI			Printing and graphic art sales		"golf, boating, camping"	"coach and umpire girls softball, thrift store"	3	9	4	They visited the Brashler's (lot #    ) and the Dannenberg's (lot #    ) whom they knew from church.  Bought lot # 51 in 2004.	They played softball and met at an after the game party		
R-100	Moran	Rebecca	F	signed 11-7-11	52	Crown Point		607-652-1200	845-889-2078	Rebecca.H.Moran@mailinator.com	2314 Strother Street	Birmingham	AL	35222	937-236-3335	CT					Various spoting events		3			"They isited Pat's sister, Mary Jane Agostini. Then they purchased lot #52 in 2002"			
R-101	Johnson	Clinton	M	signed 11-7-11	52	Crown Point		804-448-8982	810-542-4094	Clinton.A.Johnson@dodgit.com	2873 Rosewood Court	MORGAN	MN	56266	720-913-1407	CT		Univ. of Hartford	Engineer		Various spoting events	Many KG activities							
R-102	Palmer	Melissa	F		53	Crown Point		925-891-2744		Melissa.J.Palmer@trashymail.com	3665 Poe Lane	Shawnee	KS	66214	214-897-4334	MO			"Deputy County Tax Colector, homemaker"		"reading, travel, bridge, cooking"	"hospital, cub scouts, school"							
R-103	Corder	Edwin	M		53	Crown Point		413-454-9855		Edwin.M.Corder@mailinator.com	589 Terry Lane	Orlando	FL	32801	413-329-9553	MO		Southeast Missouri State	"Associated with a natural gas company, owned an ice business"	"Navy, Japan, Korea"	"fishing, travel, cards"	"lions, Elks, food Pantry, School board"				Stayed for several years at Lake Awesome (Stay and Play).  While there they met the Wallaces (#299).  After the Wallaces bought here they purchased lot # 53 in 2001.			
R-104	Peoples	Doretha	F		54	Crown Point																							
R-105	Naccarato	Richard	M		54	Crown Point																							
R-106	Hardy	Dora	F	signed 12-1-11	55	Crown Point		618-325-2777		Dora.D.Hardy@dodgit.com	3876 Luke Lane	Tulsa	OK	74120	323-935-1362	IA	IL TN	Northern Illinois	Homemaker		"needlework, painting, sewing, golf, camping, travel"	"Brownies, church"	2	2					
R-107	Arnold	Andrew	M	signed 12-1-11	55	Crown Point		815-603-9344		Andrew.D.Arnold@mailinator.com	782 Red Bud Lane	Teterboro	NJ	7608	419-533-8120	IL	TN	"Brown Business School, Peoria, Ill"	Manager of a small corrugated metal manufacturing plant	"Navy, Japan, medic"	"golf, softball, camping, travel"	"Boy scouts, little league baseball coach, church, KG"	2	2		Pat and Elmer were camping at Royal Coachman.  They heard that KG was opening up.  They came back and bought lot # 99 and then lot # 55 in 1986.  They put this unit on in 1988			
R-108	Mitchell	Melissa	F		56	Crown Point		870-894-7175			4521 Lonely Oak Drive	Mobile	AL	36608															
R-109	Alfaro	Raymond	M		56	Crown Point		704-839-5172			2879 Riverwood Drive	Chico	CA	95926															
R-110	Carrillo	Nicole	F	signed 1-11-2012	57	Crown Point			478-243-5758	Nicole.J.Carrillo@mailinator.com	2912 Fittro Street	CROSSETT	ON	L9G0B1	229-272-8577	ON			"Homemaker, administrator for the family businesses"		"crafts, sewing"	church	7	22			Her parents imigrated to Canada about 2 years before she was born.		
R-111	Pullins	Arthur	M	signed 1-11-2012	57	Crown Point			806-426-6806	Arthur.L.Pullins@spambob.com	164 Maryland Avenue	PINELLAS	ON	L9G0B1	505-610-0186		ON		"farmer, realtor, owned bussiness that set posts so clients could put up fencing, welder, Owned trenching business that now specializes in directional drilling"		biking	"auctioneer at fundraisers, church, mission projects"	7	22		While staying at Royal coachman they visited a cousin in the Club and went for a walk.  They purchased lot # 57 in 2010.	George was born in the Netherlands and came to Canada with his parents as a young child.  He met marta as a teenager.		
R-112	Brown	Stephanie	F		58	Crown Point		724-665-7237			3708 Hall Valley Drive	Harrisville	WV	26362	907-465-1466	OH			"Worked in Navy flashlight factory, homemaker, farmer - she and husband had 300 acres of tomatoes and 1400 apple trees"		"shuffleboard, cards, casino"		6	10	19	Mother lived in Bradenton. On a visit came to KG under construction. Rented lot at Ridgeway in 1982 but no room in 1983.  Rented various lots for next 5 years. Purchased lot #73 and in 2001 purchased # 58.	Married to Carl for 46 years before his death in 2000.  Girls used to walk downtown on Saturday evenings and boys drove by and honked and took them for ice cream.  One of those nights it was Carl.   Her father was orphaned at 14 in Belgium.  Made bricks i		
R-113	Kuebler	Mary	F	signed 1-17-2012	59	Crown Point		910-257-6590			2091 Kessla Way	Charleston	SC	29403	404-539-6672	IN	NJ		Teachers Aide - grades 1 - 3		"sewing, golf,flowers"	"Boy Scouts, Girl Scouts, Women's Club (assisting the needy), Miss America Pageant, church, many KG committies"	2	3	4	Were staying at Royal Coachman.  Went for a bike ride.  Found the park and liked the people.  Rented lot 102 for several years and then two others.  Purchased lot #59 in 1993 with this unit and later  put on the raised porch.	"Served as hostess for 31 years for Miss America pageant.  Each year assigned to spend 2 weeks with one participant to make sure they were at the right place. With the right clothes and on time.  In 1985 she was assigned Miss Minnesota, who was named Miss "		
R-114	Summers	Graham	M	signed 1-17-2012	59	Crown Point		409-381-8202	507-223-9510		749 Carter Street	DUBOIS	IL	62831	419-766-3671	IN	NJ	Purdue University	Aeronautical Engineer with the Federal Aviation Administration.  Their research lead to aircraft safety regulations.		NROTC	"Boy Scouts, Masons, church, Miss America Pageant, served on many KG committies"	2	3	4		Traveled to many parts of the world as part of his job.  Was an Eagle Scout.  Served on security team for Miss America Pageant for 27 years.  At Purdue was in navy ROTC.  Went on summer cruise after 3rd year but did not pass physical.  On summer vacation 		
R-115	Castillo	Scot	M		60	Crown Point		206-824-9659	916-810-7583		870 Whitman Court	WILTON	CT	6897															
R-116	Hinds	Margaret	F	signed 1-13-2012	61	Crown Point		860-235-0317	410-690-8086	Margaret.J.Hinds@mailinator.com	1390 Thomas Street	Schaumburg	IL	60173	262-319-1490	DC	MD		Homemaker		"gardening, sewing"	KG	3	6	3				
R-117	Lyons	Arthur	M	signed 1-13-2012	61	Crown Point		410-323-9707	567-207-9659	Arthur.R.Lyons@dodgit.com	3025 Brighton Circle Road	Saint Cloud	MN	56303	912-209-0267	PA	MD	University of Maryland	Manager with a telephone company		"fishing, crabbing"		3	6	3	Visited a friend living in KG.  Purchased lot # 61 in 1994.  Put this unit on in 2000.	Met in High School		
R-118	White	Darlene	F	signed 11-29-11	62	Crown Point		225-655-2724			4146 Andell Road	Worthington	OH	43085	831-539-6435	CT			"print shop, helped in the family business, homemaker"		"travel, camping"	"4-H, church, KG"	6	8	5	"They visited her sister, Mary Jane Agostini (lot # 48).  They bought lot # 62 after a phone call from Mary Jane recommended it in 2002"	They met when they both worked in a print shop.  Celebrated their 60th in 2010		
R-119	Brown	Kevin	M	signed 11-29-11	62	Crown Point		623-856-1263			4674 Kinney Street	AGAWAM	MA	1001	276-614-0855	CT			"Mechanic for the State Highway, operated the family garage, gas station, soda fountain and package store"	Navy: 1945 -1949	"hunting, fishing, travel, camping, built home"	"KG, church"	6	8	5		He was the first leap year baby ever born in his home town.		
R-120	Williams	Mildred	F	signed 1-19-12	63	Crown Point			561-982-9563		2198 Colonial Drive	HOUSTON	TX	77027		MN		Golden Valley college	Did in-home care for  a quadriplegic. Homemaker		music-guitar	"nursing homes, church, school"	2	6			She gave guitar lessons.  Their sons married sisters.		
R-121	Conners	John	M	signed 1-19-12	63	Crown Point			931-252-7490		4332 Traction Street	Ware Shoals	SC	29692		MN		Dunwoody Institute	Electrician	6 yearts in Army Reserves	"hunting, fishing"	church:Reign Ministries Maintenance	2	6		Visited Dennis and Judy Smith who were in park and friends from home.  Purchased lot # 63 in 2009.	They were introduced by a friend		
R-122	Boswell	Simona	F	signed 1-13-2012	64	Crown Point		925-245-3332		Simona.C.Boswell@mailinator.com	244 Beechwood Drive	Pittsburgh	PA	15219	410-608-9756	NY		Bussiness School				church	5	11					
R-123	Olds	Lewis	M	signed 1-13-2012	64	Crown Point		407-377-2168		Lewis.N.Olds@dodgit.com	2805 Straford Park	Winchester	KY	40391	904-321-2759	NY			Owned a construction company			church	5	11		Bob and Anita were visiting a friend in the area who suggested KG.  They rented in 1990 and bought lot  # 172 the same year.  In 1998 lot # 64 became available and the bought it.  They put the present unit on in 2000	They met in High School.		
R-124	Scheer	Margaret	F	declined	65	Crown Point																							
R-125	Gray	Ashley	F	declined	66	Crown Point																							
R-126	Harold	Mark	M	declined	66	Crown Point																							
R-127	Wyman	Helen	F		67	Crown Point		614-771-8056	650-299-8501	Helen.P.Wyman@dodgit.com	4491 Maple Street	Anaheim	CA	92805															
R-128	Carpenter	Diane	F	declined 10-29-11	68	Crown Point																							
R-129	Adkins	Linda	F		69	Crown Point		605-529-4367	781-405-0354		3497 Thompson Street	Pomona	ON	L9L155															
R-130	Peek	James	M		69	Crown Point		573-817-7940	315-684-9331		3373 Hickory Heights Drive	Hanover	ON	L9L155															
R-131	Morgan	Della	F	signed 1-17-2012	70	Crown Point		720-424-7345	757-579-0030	Della.M.Morgan@pookmail.com	1625 Jones Street	Dallas	TX	75212	301-407-2159	Il	MI	Calvin College	"Bookkeeper for the businesses, Homemaker"		"needle craft, reading, music"	"church,  Went to Guatemala and the Caribbean with Don"	3	8					
R-132	Kendricks	Wayne	M	signed 1-17-2012	70	Crown Point		740-363-5995	623-772-0828	Wayne.M.Kendricks@dodgit.com	4525 Lincoln Street	LAUREL SPRINGS	NJ	8021	662-693-7098	IL	MI	Dunwoody Institute	"Owned a bakery, a partner in real estate development"		"gardening, woodworking, stained glass, copper work, fishing, golf"	"church, International Executive Service Corp - volunteered in Guatemala, The Caribbean, Armenia and The Republic of Georgia -helped them bake a better loaf of bread 3"	3	8		Don's father had a unit near Nokomis Grove.  When Don and Joyce asked for a suggestion as to where to go with their RV.  His father  suggested KG.  Don and Joyce rented lot # 119 and bought lot #70 in 1994.  They added the upper lanai in 2005	They enjoy the people and the park.		
R-133	Adcock	Sharon	F		71	Crown Point		530-999-0722			2413 Tori Lane	Salt Lake City	UT	84113	443-232-4315	MI			"School bus driver, homemaker"		"Ski, roller skating, bowl"	"church, food bank, coats for the needy, KG"	2	4	2	In 1978 were staying at royal Coachman helping her husband's twin brother Dave (lot # 233) move in. They started renting her  in 1982 and purchased lot 3 71 in 2005	She meet her husband while roller skating.  They were married 57 years when he died in 2009.  She still likes to bowl.		
R-134	Wilson	Stacy	F		72	Crown Point			713-942-3623		3287 Shingleton Road	Grand Rapids	MI	49503		IL	NC		"Homemaker, Dental Receptionist"		"Needle work, shopping"	"Hospice, Salvation Army, Church"	3	7	10	"Her son had a friend who lived in the area.  While visiting his frIenD, David visited his friend's aunt who lived in KG. He bought the unit as a birthday present to LaVerta"	Married for 39 years when her husband died.   He was a dentist.  They meet when they worked in the same bank.  When he came back from service he went to dental school and they got married.		
R-135	Terry	Alfred	M		72	Crown Point			434-214-7767		2807 Renwick Drive	Philadelphia	PA	19108													"David owns the unit jointly with his mother, LaVerta."		
R-136	Love	Barbara	F	signed 10-28-11	73	Crown Point		240-307-0411	706-613-2450	Barbara.T.Love@trashymail.com	4528 Khale Street	Charleston	SC	29424	808-343-0894	ND	"MN, ID"	"Valley City State-ND, master's work at various colleges and universities"	Taught English and Business in Junior/Senior High. Private Piano lessons.		"Music, piano, reading, golf, decorating, sewing, bridge"	"Hospital Auxiliary, church activities including playing piano for church choir, hospital visitation"	2	5	1	Had an RV and a daughter in Orlando.  Were looking for a place to retire to within 2 hours of Orlando.  They stayed at the Venice Camp Ground for one month for three years.  Heard about KG.  Came and talked to owners.  Liked what we heard.	"Jim and Rita met in 5th grade, Family is very important both siblings, children, grandchildren and now a great gandchild."		
R-137	Matthew	Brad	M	signed 10-28-11	73	Crown Point		270-643-4321	904-849-0878	Brad.K.Matthew@dodgit.com	1933 Barrington Court	Pine Bluff	AR	71601	214-885-6031	ND	"MN, ID"	"Valley City State-ND, University of Idaho"	Secondary Education Teacher and Athletic Director		"Hunting, fishing, golf, boating, water sports, tennis"	"Church activities including finance committee, board of directors at their Lake Association in Minnesota, water samples the lake weekly in season"	2	5	1	Gave up the RV and purchased lot #73. Put this unit on in 2009.	Family is very important both siblings and children and grandchildren		
R-138	Pastrana	Joanne	F		74	Lancer				Joanne.J.Pastrana@trashymail.com																			
R-139	Wood	George	M		74	Lancer				George.L.Wood@pookmail.com																			
R-140	Robinson	John	M		75	Lancer		917-260-5375	734-565-7236	John.V.Robinson@pookmail.com	2635 Gandy Street	Saint Louis	MO	63146															
R-141	Laroche	Wayne	M		75	Lancer		530-580-2880	517-224-8981	Wayne.S.Laroche@mailinator.com	3237 Austin Avenue	Savannah	GA	31401															
R-142	Vega	Alicia	F		76	Lancer			612-719-8327	Alicia.J.Vega@dodgit.com	1492 Warner Street	Miami	FL	33128	843-792-7636														
R-143	Cook	Johnny	M		76	Lancer			740-227-8662	Johnny.C.Cook@mailinator.com	3521 Kimberly Way	Grand Rapids	MI	49546	901-461-9685														
R-144	Holmquist	Naomi	F	signed 10-29-11	77	Lancer			708-421-6733			Nokomis																	
R-145	Feldman	Jerry	M	signed 10-29-11	77	Lancer			262-910-2175			Nokomis																	
R-146	Arvidson	Darlene	F	signed 11-2-11	78	Lancer		302-284-1286																					
R-147	Watford	Diana	F		79	Lancer			727-726-2520	Diana.K.Watford@dodgit.com	670 Pearl Street	Sacramento	CA	95814															
R-148	Garcia	William	M		79	Lancer			203-864-4812	William.D.Garcia@pookmail.com	1052 Reppert Coal Road	Detroit	MI	48219															
R-149	Ortega	Megan	F		80	Bainbridge				Megan.B.Ortega@pookmail.com	3112 Meadowbrook Mall Road	IRVINE	CA	92664		MI		West Virginia University at Parkersburg	"homemaker, teachers aide in an elementary school"		"Sewing, reading, tennis, travel, biking"	"Girl's kick ball, Brownies, Scouts (boys and girls), KG flea market and baazar"	3	11					
R-150	Cox	Eddie	M		80	Bainbridge			330-619-5700	Eddie.J.Cox@trashymail.com	1392 Owagner Lane	Seattle	WA	98119		WV			Sales Manager in Transportation		"Fishing, biking, boating, travel"	"President of Mid Ohio Valley Transportation Club (A professional organazation of trucking companies), KG flea market"	3	11		"They were looking for a place to stay in the area.  Found out about the park on the internet.  They came to visit and discovered that Mike and Joy Durnell (# 293)  who were friends from West Virginia, were in the park.  They rented lot 76 and bought this "	He and Libbi have been married 47 years in 2013.  He was a paperboy and his papers were delivered at Libbi's father's gas station.  The family lived up stairs.		
R-151	Bullock	Karen	F		81	Bainbridge			216-673-6205	Karen.H.Bullock@spambob.com	485 Heavner Avenue	Norcross	GA	30071															
R-152	Cano	Joe	M		81	Bainbridge			302-677-5848	Joe.S.Cano@trashymail.com	4597 Pinewood Avenue	Baraga	MI	49908															
R-153	Adams	Marie	F		82	Bainbridge		252-227-7949	646-706-6400	Marie.G.Adams@trashymail.com	1281 Bernardo Street	Vincennes	IN	47591		In		"Butler, Ball State"	Taught phys Ed in school system		"golf, travel"								
R-154	Nugent	Lee	M		82	Bainbridge		913-461-1338	330-935-1451	Lee.J.Nugent@dodgit.com	4558 Lake Forest Drive	KANSAS CITY	KS	66215		KY	IN		"Ford Motor Company, Transportation director at High School"	"Army, Panama"	"golf, travel"	"Masonic Lodge, American Legion"	4	5		Visited bill's half brother Kermit Stacy. Purchased lot # 96 in 1982 and lot #82 in 1994.  Later added raised porch			
R-155	Rodriguez	Ashley	F	signed 11-28-11	83	Bainbridge		503-801-4744	703-940-3362	Ashley.R.Rodriguez@trashymail.com	1138 Tea Berry Lane	Eau Claire	WI	54701	708-807-0923	PA			"Managed a Beauty Parlor with her sister, Judy Tomlin, who did the hair."		"square dancing, travel"	"church, score keeper for softball"	1	3		A lady came into the Beauty Shop and showed them a video of KG Park.  They liked the video and rented the ladies travel trailer on lot # 84.  The two sisters (Betty and Judy Tomlin) purchased lot 87  that summer.  In 1992 the Booths purchased #83.  The Bo			
R-156	Kucharski	Jason	M	signed 11-28-11	83	Bainbridge		716-508-0292	734-640-4095	Jason.C.Kucharski@spambob.com	474 Saint Marys Avenue	PORT BYRON	NY	13140	212-265-6393	PA		Delaware Technical Community College	"Plumber, Pipefitter with DuPont, did piping design on CAD"	"Army, France, Germany"	"softball, square dancing, travel"	church	1	3			He and Betty met at a baseball field next to Betty' home.  They also enjoy their summer condo in PA.		
R-157	Richardson	James	M		84	Bainbridge		408-934-4234		James.C.Richardson@pookmail.com	1957 Daffodil Lane	LEESBURG	VA	22075	508-622-3968	OH		Bowling Green	Administrative Assistant at Goodyear Tire and Rubber		"hunting, boating"	boy scouts				"He learned about KG from Joyce Pribanich who lived on the same lake in Ohio.  He retired to the lake in 1999.  A very cold winter, no school, no electricity at times.  Came here to get warm and bought in 2001"			
R-158	Payne	Kristen	F	signed 11-30-11	85	Bainbridge			504-840-6072		3104 Sycamore Road	Coquille	OR	97423															
R-159	Smiley	Linda	F	signed 11-7-11	86	Bainbridge		816-240-1922		Linda.W.Smiley@trashymail.com	1040 Lonely Oak Drive	Mobile	AL	36608	480-778-0876	WI		University of Wisconsin-Milwaukee	Elementary Teacher		water color painting		2	5					
R-160	Pierce	Shana	F		86	Bainbridge	renter	541-364-3120			2277 Austin Secret Lane	MORONI	UT	84646	703-448-8066	OH		Kent State University	homemaker		reading	"red cross, church, library"	2	3		visited the Stowe's (#  99) while at Siesta Key.  Purchased lot # 204 in 2000 and sold it in 2010.  Have been renting ever since.			
R-161	Smith	John	M	signed 11-7-11	86	Bainbridge		815-417-9439		John.A.Smith@trashymail.com	79 Hickory Lane	Silver Spring	DC	20904	843-788-6741	WI		"University of Wisconsin-Platteville, Northern Michigan"	Taught high school chemistry		birding	"Audubon Society, Did research for National Forest Service in Wisconsin"	2	3					
R-162	Fields	Mary	F		87	Bainbridge		609-702-8629	907-454-7454		1745 Cost Avenue	Prince Frederick	MD	20678															
R-163	Bickford	Thomas	M		87	Bainbridge		810-275-0973	310-974-8099		403 Poling Farm Road	Omaha	NE	68104															
R-164	Plummer	Edna	F	signed 11-1-12	88	Bainbridge		270-577-6797				Johnson City	TN			MN	TX	Fort Sam Huston Dietetics Center	A dietician at a VA hospital in TN.  For several years was the dietician on an inspection team for VA hospitals in the region.	Army	"reading, camping, attending football and basketball games"		3	1	1	Her brother had a high rise in Venice.  The brother found KG and they rented here.  The purchased in 1989 and improved the porch as rules changed.  This is number three.	"Jeanette was married to Jim's brother who worked on the VA team.  After her husband died, she married Jim"		
R-165	Crumble	James	M	declined	88	Bainbridge																							
R-166	Root	Tamara	F		89	Bainbridge			706-598-1398		4597 Kooter Lane	Charlotte	NC	28202	610-410-8822														
R-167	Frazier	Oscar	M		89	Bainbridge			609-420-4668		929 Rollins Road	IMPERIAL	NE	69033	401-851-6420														
R-168	Malik	Tracy	F		90	Bainbridge		561-997-7754	925-447-4456		3557 My Drive	New York	NY	10011		OH			homemaker		"sewing, quilting, crafts"	"church, school, KG activities"	4	4	9		They meet at a Y dance.  They had gone to the same school but did not know each other.		
R-169	Houston	Jose	M		90	Bainbridge		310-355-7430	818-488-3497		900 Chapel Street	Sugar Land	TX	77478		PA	OH		Sheet metal worker at B F Goodrich	"Air Force, WWII, Europe"	"reading, camping"	"church, school , KG activities"	4	4	9	He learned about KG from his friend Frank Pribanich.  Purchased #90 in 1981 and lived in a trailer.  Then put this unit on in 1992.	During the war he repaired sheet metal on planes		
R-170	Keener	Sheila	F	declined	91	Bainbridge		740-628-2784	785-851-7295																				
R-171	Campbell	Stephen	M	declined	91	Bainbridge		662-585-3323	541-239-9948																				
R-172	Pitt	Michele	F		92	Bainbridge		973-823-7094		Michele.V.Pitt@mailinator.com	4241 Oak Drive	Albany	NY	12207	805-901-9344	NY		Genesso State College	"Nurse, homemaker"		"ceramics, Swedish weaving, reading"	"Hospital, Nassau women's Club (a philanthropic organization)"	3	8					
R-173	Pearson	Thomas	M		92	Bainbridge		224-388-5925		Thomas.J.Pearson@mailinator.com	3237 Tanglewood Road	Jackson	MS	39201	814-391-0583	NY				"Navy, aviation"		"Fire Department, Viet Nam Vets, American Legion, Oscar Shearer State Park"	3	8		Rented with a friend on Casey Key.  Friend bought in Club.  They bought lot # 92 in 2001.	They went to rival high schools and were with friends at a football game.  Her school won the football game.  He asked her out so he could attend the victory dance.		
R-174	Gulick	Anita	F		93	Bainbridge		305-486-5393		Anita.L.Gulick@pookmail.com	681 Crowfield Road	Phoenix	AZ	85012	609-619-4727	NJ	RI		"Bookkeeer at Richard Stockton State College, homemaker"		"gardening, reading, golf, scrap booking, crafts, walking"	"Ran a concession stand at the city park, school, girl scouts, KG"	4	6	2		She and a friend often went dancing at a hotel in Atlantic City.  They met a sailor who suggested they attend a dance at the nearby naval station.  They did and the first sailer they met was Maury.		
R-175	Baillargeon	Dennis	M		93	Bainbridge		719-538-7193		Dennis.L.Baillargeon@dodgit.com	897 Viking Drive	BERGHOLZ	OH	43908	763-302-4385	VA	NJ RI	"FAA Academy in Oklahoma City, Wireless Tech in Philadelphia"	Avaiation Electronics Technition and Engineer with the FAA	"Navy, Carribean"	"leather craft, stained glass, golf, woodworking, resotring antique cars, gardening"	"Little league, LPGA, Boy Scouts, KG"	4	6	2	visited the Howell's.  Rented a unit in 1996 and purchased lot # 93 in 1998.			
R-176	Rivera	Christina	F	signed 2-12-2012	94	Bainbridge		336-623-7554	610-294-6217	Christina.J.Rivera@trashymail.com	224 Liberty Street	Farmers Branch	TX	75244		NY		Cortland College	Remedial Readint Teacher - grades 2-6		"golf, bridge, gardening, exercise"	"Book Club, gardening club"	3	6					
R-177	Beck	Harry	M	signed 2-8-2012	94	Bainbridge		641-740-1081	409-831-6274	Harry.J.Beck@trashymail.com	504 Barfield Lane	Indianapolis	IN	46218	781-683-6680	NY		"Syracuse University, Ohio State University"	Paving Contractor	Army	"golf, gardening,  exercise, model boats, rebuilt cars"	"Fire Department, Planning and Zoning Board, Accesssor Board, Library Board, American Legion, Skaneateles County Club"	3	6		Dave's mother was one of original owners.  Thie unit was put on in 1997.	met in grade school		
R-178	Mallet	Gladys	F		95	Bainbridge			573-328-9574		4820 Cessna Drive	Fort Wayne	IN	46804															
R-179	Mcbee	Mario	M		95	Bainbridge			586-665-7934		3458 Columbia Road	Philadelphia	DE	19103															
R-180	Hale	Charlotte	F	declined	96	Bainbridge																							
R-181	Bowman	Jason	M	declined	96	Bainbridge																							
R-182	Matthews	Ruth	F		97	Bainbridge		917-434-9611		Ruth.S.Matthews@pookmail.com	3372 Hillside Street	Phoenix	AZ	85003	410-452-9948	MI	CA		"Telephone company, Tool and Die Company, homemaker"		"gardening, painting, needle point"	"church treaurer, crossing guard"	3	8	17	They were staying in their motor home at Oscar Shear and were roaming around in 1976.  They purcahsed lot # 97 in 1978 and put this unit on in 2001.	She are George had been married 45 years when he died in 1990.  They met when she went to a dance at a bar with her sister and met George in his navy uniform.  George worked for a  Tool and Die Company.		
R-183	Wilson	Kristi	F		98	Bainbridge		713-956-3379	218-378-7044	Kristi.D.Wilson@dodgit.com	2947 Red Hawk Road	Saint Cloud	MN	56301															
R-184	Rivera	Jessica	F	signed 1-14-2012	99	Bainbridge		609-507-0202		Jessica.B.Rivera@dodgit.com	4107 Cottrill Lane	Saint Louis	MO	63146	304-647-4236	OH		Bussiness School	"Worked in the family business, homemaker"			"Red cross, church, KG"	2			26 years in the park			
R-185	Wells	Eric	M	signed 1-14-2012	99	Bainbridge		212-368-7734		Eric.M.Wells@dodgit.com	1850 Cameron Road	Buffalo	NY	14202	816-291-6558	OH		General Motors Institute	Owned family auto dealership	Air National Guard	"working outside, travel: Been in evry state and 7 times to Europe"	KG	2			Came to KG flea marked while staying at Royal Coachman in 1978.  Rented several lots in KG for 8 years.  Bought lot # 99 in 1987.			
R-186	Patton	Lisa	F		100	Bainbridge		830-229-8830		Lisa.L.Patton@mailinator.com	3758 Brown Street	Oakland	CA	94612	908-921-5533	MI			Administrative secretary		"sewing, tennis"	KG - in charge of updating web site regarding illness among owners	3	5					
R-187	Martini	John	M		100	Bainbridge		847-538-8171		John.T.Martini@pookmail.com	2175 Hall Place	Longview	TX	75604	509-624-5289	VI	MI	Wayne State University	Carpenter	Navy Air Reserve	"tennis, fishing"	"KG - In charge of building deck, Salvation Army"	3	5		Went to high school with Jim Fenton.  Visited the Fenton's and rented lot # 100 in 1996.  Bought it a month later.  Added the raised porch in 2006.	His folks moved into the neighbor hood when Herb was 6 or 7.  In 2010 they were married 56 years.		
R-188	Hague	Karen	F		101	Bainbridge	renter		270-873-1920	Karen.J.Hague@pookmail.com	4232 Franklin Avenue	BLOOMINGTON	TX	77951		IN		Ball State University	Taught elementary through high school at public school and later with the Indiana soldiers and Sailors Children Home.		"reading, swimming, walking, has a collection of over 1000 bears"	"church, Mission volunteer in Kentucky"	5	8		Taught for several years with Deb Ratliff (lot #82).  Four teachers came down for spring break for several years.  The Loves have been renting in KG since 2005.	"  They have a blended family.  The soldiers and sailors childrens home was established originally to care for orphans from the Civil War.  Later, amoung others, it housed and educated wards of the court and children who had both parents serving in the Gul"		
R-189	Hickey	Joanne	F		101	Bainbridge			913-631-3588	Joanne.J.Hickey@spambob.com	1597 White River Way	Salt Lake City	UT	84104															
R-190	Daye	Michael	M		101	Bainbridge	renter		323-883-3017	Michael.S.Daye@pookmail.com	515 Lords Way	Memphis	TN	38110		MI	IN	Wayne State University	Ford Motor Company		Master Gardner	"coached cross country, track and basketball, Mission volunteer in Kentucky and Sierra Leone, Habitat for Humanity"	5	8			"After his wife died he wanted an outside activity and he volunteered to coach at the school where Diane was Athletic director.  After retiring he and others established MADKI  (Make a difference in Knightstown, Inc.).  They raised a lot of money with comm"		
R-191	Carwile	Richard	M		101	Bainbridge			707-582-8607	Richard.P.Carwile@dodgit.com	3211 Hillview Drive	San Francisco	CA	94103															
R-192	Bates	Priscilla	F		102	Bainbridge			781-788-3102		2526 Irish Lane	La Crosse	WI	54601	843-335-3628														
R-193	Bucher	Richard	M		102	Bainbridge			865-551-9264		4831 Overlook Drive	RICHMOND	IN	47374	216-663-6524														
R-194	Murray	Sarah	F		103	Bainbridge			517-214-2467		1415 Briarhill Lane	Akron	OH	44308															
R-195	Mercedes	Stephen	M		103	Bainbridge			408-835-9581		1805 Drummond Street	NEWARK	NJ	7102															
R-196	Mount	Judith	f	"declined, 2011"	104	Bainbridge																							
R-197	Stafford	Frank	M	"declined Dec, 2011"	104	Bainbridge																							
R-198	Ferguson	Margaret	F		105	Bainbridge		314-413-9706	920-206-1429		4432 Matthews Street	Oak Brook	IL	60523															
R-199	Perez	Timothy	M		105	Bainbridge		334-794-0296	618-253-5494		2382 Central Avenue	JERSEY CITY	NJ	7304															
R-200	Gardner	Addie	F	signed 1-15-2012	106	Bainbridge			602-616-0911	Addie.J.Gardner@pookmail.com		"Aliki, Greece"			001-30-69727-49396		MI	"Central Michigan, Eastern Michigan University"	Public School Special Education Teacher		"sewing, reading, gardening,cooking travel"	church	2	2			Athena was born in Greece.  Her father then moved to Detroit and in order to work in the steel industry.  Two years later he bought a house and sent for the family.  She was assigned to the third grade where she choose the desk next to Loran.		
R-201	Hilton	Frank	M	signed 1-15-2012	106	Bainbridge			970-203-0715	Frank.K.Hilton@pookmail.com		"Aliki, Greece"			001-30-69727-49397	MI		Wayne State University	"Police Investigator, Hospital Administrator, Educator"	"Navy, Viet Nam combat Veteran"	"reading, Fitness, Travel"	"Board of Directors for Credit Union,"	2	2		His parents lived just outside the park and they biked in the area.  When he retired they suggested KG.  They purchased lot # 106 in spring of 2007 and put this unit on that summer.	"He attended Elementary  School, High School and University with Athena.  They have been married 43 years."		
